ricci,Race,0.5714285714285714,0.5714285714285714,0.7857142857142857
adult,race,0.5853284014541198,0.5066884086680367,0.8906119156007297
adult,sex,0.3851299841942455,0.3851299841942455,0.810273780318863
adult,race-sex,0.43913856358366565,0.38711569745400015,0.8213111932592005
german,sex,0.7991295614328757,0.7991295614328757,0.8486949943260622
german,age,0.8347423510466988,0.8347423510466988,0.8803904428904429
german,sex-age,0.8044354838709677,0.8052814327485381,0.8509984639016898
propublica-recidivism,sex,0.7320285065069201,0.7320285065069201,0.8685663627152989
propublica-recidivism,race,1.257277909373284,0.9551428928021062,1.10254097970705
propublica-recidivism,sex-race,1.1728798589139044,1.008236483884924,1.071590393655125
propublica-violent-recidivism,sex,0.5333969465648855,0.5333969465648855,0.913190129593467
propublica-violent-recidivism,race,1.3034949069195645,1.0321000247629517,1.0427921235352966
propublica-violent-recidivism,sex-race,1.168651555897042,0.7736328226634733,1.0254315838257444
